"ROL4","AlternateDialectName","Source","EditName","EditDate"
759,"Kongsai","GRN / ROD","BM",4/1/2010 0:00:00
759,"Thado Kuki","GRN / ROD","BM",4/1/2010 0:00:00
760,"Kok Borok","GRN / ROD","BM",4/1/2010 0:00:00
760,"Noatia","GRN / ROD","BM",4/1/2010 0:00:00
761,"Hindu","GRN / ROD","BM",4/1/2010 0:00:00
761,"Majhi & Doabi","GRN / ROD","BM",4/1/2010 0:00:00
761,"Panjabi","GRN / ROD","BM",4/1/2010 0:00:00
761,"Panjabi, Eastern","GRN / ROD","BM",4/1/2010 0:00:00
764,"Bu Nar","GRN / ROD","BM",4/1/2010 0:00:00
764,"Mnong Bunor","GRN / ROD","BM",4/1/2010 0:00:00
767,"Mnong Gar","GRN / ROD","BM",4/1/2010 0:00:00
767,"Pnom Gar","GRN / ROD","BM",4/1/2010 0:00:00
767,"Pnong","GRN / ROD","BM",4/1/2010 0:00:00
768,"Thandiani","GRN / ROD","BM",4/1/2010 0:00:00
769,"Kik Borok","GRN / ROD","BM",4/1/2010 0:00:00
770,"Naga, Tangkhul","GRN / ROD","BM",4/1/2010 0:00:00
771,"Soldier","GRN / ROD","BM",4/1/2010 0:00:00
772,"Randuk Ulu","GRN / ROD","BM",4/1/2010 0:00:00
773,"Inuktitut, Northwest Alaska In","GRN / ROD","BM",4/1/2010 0:00:00
773,"Qawiaraq","GRN / ROD","BM",4/1/2010 0:00:00
776,"Liberian","GRN / ROD","BM",4/1/2010 0:00:00
776,"Liberian English","GRN / ROD","BM",4/1/2010 0:00:00
776,"Liberian Standard English","GRN / ROD","BM",4/1/2010 0:00:00
777,"Kpeaply","GRN / ROD","BM",4/1/2010 0:00:00
781,"Gorbo","GRN / ROD","BM",4/1/2010 0:00:00
781,"Gwarbo","GRN / ROD","BM",4/1/2010 0:00:00
782,"Gedebo","GRN / ROD","BM",4/1/2010 0:00:00
783,"Grebo, Northern","GRN / ROD","BM",4/1/2010 0:00:00
785,"Barrobo","GRN / ROD","BM",4/1/2010 0:00:00
785,"Borobo","GRN / ROD","BM",4/1/2010 0:00:00
786,"Bush Kru","GRN / ROD","BM",4/1/2010 0:00:00
786,"Sapa","GRN / ROD","BM",4/1/2010 0:00:00
786,"Sapo","GRN / ROD","BM",4/1/2010 0:00:00
787,"Kui Antra","GRN / ROD","BM",4/1/2010 0:00:00
788,"Kompong Thom","GRN / ROD","BM",4/1/2010 0:00:00
788,"Pear","GRN / ROD","BM",4/1/2010 0:00:00
791,"Maa","GRN / ROD","BM",4/1/2010 0:00:00
794,"Black Thai","GRN / ROD","BM",4/1/2010 0:00:00
794,"Dum","GRN / ROD","BM",4/1/2010 0:00:00
794,"Tai Dam","GRN / ROD","BM",4/1/2010 0:00:00
794,"Thai Dum","GRN / ROD","BM",4/1/2010 0:00:00
794,"Thai Noir","GRN / ROD","BM",4/1/2010 0:00:00
798,"Bulongan Malay","GRN / ROD","BM",4/1/2010 0:00:00
800,"Kaili","GRN / ROD","BM",4/1/2010 0:00:00
800,"Kaili, Ledo","GRN / ROD","BM",4/1/2010 0:00:00
802,"Bundel Khandi","GRN / ROD","BM",4/1/2010 0:00:00
802,"Bundeli","GRN / ROD","BM",4/1/2010 0:00:00
806,"Bonerate","GRN / ROD","BM",4/1/2010 0:00:00
806,"Tukangbesi","GRN / ROD","BM",4/1/2010 0:00:00
808,"Tondano","GRN / ROD","BM",4/1/2010 0:00:00
809,"Kelai","GRN / ROD","BM",4/1/2010 0:00:00
810,"Mongondow","GRN / ROD","BM",4/1/2010 0:00:00
814,"Bantian","GRN / ROD","BM",4/1/2010 0:00:00
815,"Kenyah I","GRN / ROD","BM",4/1/2010 0:00:00
815,"Lepu' Djalan","GRN / ROD","BM",4/1/2010 0:00:00
815,"Lepu' Tau","GRN / ROD","BM",4/1/2010 0:00:00
815,"Ma' Kulit","GRN / ROD","BM",4/1/2010 0:00:00
815,"Ma'alasan","GRN / ROD","BM",4/1/2010 0:00:00
815,"Ma'alim","GRN / ROD","BM",4/1/2010 0:00:00
