"PeopleID3","PeopName","Pronunciation","PeopNameSpanish","PeopNameGerman","PeopNamePortuguese","PeopNameFrench","PeopNameIndonesian","PeopNameThai","PeopNameHindi","ROP3_31Dec2009","ROP3","PeopleID2","JPScalePGACOld","JPScalePGAC","PercentChristianPGAC","PercentEvangelicalPGAC","LeastReachedPGAC","ROG3Largest","NbrCountries","PopulationPGAC","ROL3PGAC","RLG3PGAC","RaceCode","OmidCommunityName","OmidNCode","LargeSouthAsianLanguageROL3","Memo","Source","EditName","EditDate"
12444,"Kalagan",,,,,,,,,104452,104452,167,"1.2",1,3.00,0.30,"Y","RP",1,90000,"kqe",6,"MSY44x",,,,,,"TW",10/4/2000 0:00:00
12445,"Tagbanwa, Kalamian",,"Tagbanwa, Calamiano",,,"Tagbanwa Kalamien",,,,104458,104458,168,"3.1",4,7.00,4.00,,"RP",1,12000,"tbk",4,"MSY44m",,,,,,"TW",10/4/2000 0:00:00
12446,"Kalanga",,,,,,,,,104460,104460,348,"3.2",5,69.72,13.96,,"ZI",3,1141000,"kck",1,"NAB57l",,,,,,"TW",10/4/2000 0:00:00
12447,"Kalao",,,,,,,,,104462,104462,152,"1.1",1,0.00,0.00,"Y","ID",1,800,"kly",6,"MSY44i",,,,,,"TW",10/4/2000 0:00:00
12448,"Wakatobi, Kaledupa",,,,,,,,,104471,104471,308,"1.2",1,3.00,0.40,"Y","ID",1,159000,"khc",6,"MSY44q",,,,,,"TW",10/4/2000 0:00:00
12450,"Kaliai",,,,,,,,,104473,104473,244,"3.2",5,98.00,19.00,,"PP",1,3900,"khl",1,"AON09b",,,,,,"TW",10/4/2000 0:00:00
12451,"Kaligi",,,,,,,,,104474,104474,102,"3.1",4,20.00,4.00,,"OD",1,20000,"fer",6,"NAB66z",,,,,,"TW",10/4/2000 0:00:00
12452,"Kaliko",,,,,,,,,104475,104475,292,"3.2",5,52.64,11.18,,"CG",3,40000,"kbo",4,"NAB66e",,,,,,"TW",10/4/2000 0:00:00
12453,"Kemberano",,,,,,,,,104478,104478,244,"3.1",4,65.00,4.00,,"ID",1,2300,"bzp",1,"AON09e",,,,,,"BM",7/16/2003 0:00:00
12454,"Kalokalo",,,,,,,,,104487,104487,244,"3.2",5,85.00,22.00,,"PP",1,1500,"klx",1,"AON09b",,,,,,"TW",10/4/2000 0:00:00
12455,"Kalou",,,,,,,,,104489,104489,244,"3.2",5,35.00,13.00,,"PP",1,1900,"ywa",4,"AON10b",,,,,,"TW",10/4/2000 0:00:00
12456,"Kalumpang",,,,,,,,,104491,104491,306,"3.2",4,70.00,7.00,,"ID",1,21000,"kli",1,"MSY44p",,,,,,"TW",10/4/2000 0:00:00
12457,"Kam",,,,,,,,,104495,104495,102,"3.2",4,25.00,8.00,,"NI",1,8700,"kdx",4,"NAB66c",,,,,,"TW",10/4/2000 0:00:00
12458,"Kamano",,,,,,,,,104502,104502,244,"3.2",5,99.00,25.00,,"PP",1,94000,"kbq",1,"AON09b",,,,,,"TW",10/4/2000 0:00:00
12459,"Kamantan",,,,,,,,,104503,104503,140,"2.2",3,10.00,0.20,,"NI",1,30000,"kci",4,"NAB56b",,,,,,"TW",10/4/2000 0:00:00
12460,"Kamara",,,,,,,,,104505,104505,183,"2.2",3,6.00,1.50,,"GH",1,7200,"jmr",6,"NAB56a",,,,,,"TW",10/4/2000 0:00:00
12461,"Kamaru",,,,,,,,,104507,104507,308,"1.2",1,4.00,0.50,"Y","ID",1,4200,"kgx",6,"MSY44q",,,,,,"TW",10/4/2000 0:00:00
12462,"Kamasa",,,,,,,,,104509,104509,244,"3.2",5,100.00,26.00,,"PP",1,10,"klp",1,"AON09b",,,,,,"TW",10/4/2000 0:00:00
12463,"Kamasau",,,,,,,,,104510,104510,244,"3.2",5,90.00,12.00,,"PP",1,1300,"kms",1,"AON09b",,,,,,"TW",10/4/2000 0:00:00
12464,"Kamayo",,,,,,,,,104513,104513,168,"3.2",4,90.00,7.00,,"RP",1,488000,"kyk",1,"MSY44x",,,,,,"TW",10/4/2000 0:00:00
12465,"Kamayura",,,,,,,,,104514,104514,179,"2.2",2,60.00,0.60,,"BR",1,600,"kay",1,"MIR39a",,,,,,"TW",10/4/2000 0:00:00
12466,"Kamba",,,,,,,,,104515,104515,344,"3.2",5,97.27,57.81,,"KE",3,4629500,"kam",1,"NAB57e",,,,,,"TW",10/4/2000 0:00:00
12467,"Kambaira",,,,,,,,,104517,104517,244,"3.2",5,100.00,25.00,,"PP",1,400,"kyy",1,"AON09b",,,,,,"TW",10/4/2000 0:00:00
12468,"Kambata",,,,,,,,,104518,104518,253,"3.2",5,93.00,80.00,,"ET",1,904000,"ktb",1,"CMT33d",,,,,,"TW",10/4/2000 0:00:00
12469,"Kaan, Gan",,,,,,,,,104520,104520,183,"3.1",4,6.00,4.00,,"UV",1,13000,"gna",4,"NAB56a",,,,"Kpatago are politically separate.",,"BM",1/12/2004 0:00:00
12470,"Kamberataro",,,,,,,,,104521,104521,244,"3.1",4,77.38,4.82,,"ID",2,2600,"kbv",1,"AON10a",,,,,,"TW",10/4/2000 0:00:00
12471,"Kambiwa",,,,,,,,,104523,104523,290,"3.2",4,50.00,7.00,,"BR",1,3100,"por",4,"MIR39#",,,,"All speak Portuguese; language extinct",,"TW",10/4/2000 0:00:00
12472,"Kambole",,,,,,,,,104526,104526,320,"2.2",3,10.00,1.00,,"TO",2,105000,"xkb",6,"NAB59n",,,,,,"TW",10/4/2000 0:00:00
12473,"Kambot",,,,,,,,,104527,104527,244,"3.2",5,99.00,16.00,,"PP",1,12000,"kbx",1,"AON09b",,,,,,"TW",10/4/2000 0:00:00
12474,"Kamkam",,,,,,,,,104532,104532,140,"3.2",4,30.00,8.54,,"NI",2,7000,"bgu",6,"NAB56b",,,,,,"TW",10/4/2000 0:00:00
12475,"Kamnum",,,,,,,,,104534,104534,244,"3.2",5,90.00,16.00,,"PP",1,700,"kmn",1,"AON09b",,,,,,"TW",10/4/2000 0:00:00
12476,"Kamo",,,,,,,,,104535,104535,102,"1.2",1,5.00,0.30,"Y","NI",1,37000,"kcq",4,"NAB66c",,,,,,"TW",10/4/2000 0:00:00
12477,"Kamoro",,,,,,,,,104536,104536,244,"3.1",4,65.00,4.00,,"ID",1,13000,"kgq",1,"AON10a",,,,,,"TW",10/4/2000 0:00:00
12478,"Aiso, Kais",,,,,,,,,104538,104538,244,"3.2",5,68.00,12.00,,"ID",1,1000,"kzm",1,"AON10a",,,,,,"TW",10/4/2000 0:00:00
12479,"Kemtuik",,,,,,,,,104541,104541,244,"3.1",4,15.00,4.00,,"ID",1,3900,"kmt",4,"AON10a",,,,"Bilingual in Indonesian.",,"TW",10/4/2000 0:00:00
12480,"Kamuku",,,,,,,,,104543,104543,140,"3.1",4,8.00,3.50,,"NI",1,54000,"cdr",4,"NAB56b",,,,,,"TW",10/4/2000 0:00:00
12481,"Kamura",,,,,,,,,104544,104544,244,"3.2",5,40.00,12.00,,"PP",1,1400,"xla",4,"AON09b",,,,,,"TW",10/4/2000 0:00:00
