"ROG5","ROG4","ISO-6","FlashMapID","JSMapIDDistrict","OmidCode","LocalCode","Adm2Name","Adm2Type","Adm2NameHindi","Adm2NameBengali","Population","AreaSqKM","Capital","Longitude","Latitude","FlashMapZoom","FlashMapZoomX","FlashMapZoomY","DisplayFirst","Comment","Source","EditName","EditDate"
"EI1936","EI19",,,,,,"Termonfeckin",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2001","EI20",,,,,,"Achill",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2002","EI20",,,,,,"Addergoole",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2003","EI20",,,,,,"Aghagower North",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2004","EI20",,,,,,"Aghagower South",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2005","EI20",,,,,,"Aghamore",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2006","EI20",,,,,,"Aillemore",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2007","EI20",,,,,,"An Geata Mor Theas",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2008","EI20",,,,,,"An Geata Mor Thuaidh",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2009","EI20",,,,,,"Ardagh",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2010","EI20",,,,,,"Ardnaree North",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2011","EI20",,,,,,"Ardnaree South Rural",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2012","EI20",,,,,,"Ardnaree South Urban",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2013","EI20",,,,,,"Attymass East",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2014","EI20",,,,,,"Attymass West",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2015","EI20",,,,,,"Balla",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2016","EI20",,,,,,"Ballina Rural",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2017","EI20",,,,,,"Ballina Urban",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2018","EI20",,,,,,"Ballinafad",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2019","EI20",,,,,,"Ballinamore",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2020","EI20",,,,,,"Ballinchalla",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2021","EI20",,,,,,"Ballindine",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2022","EI20",,,,,,"Ballinrobe",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2023","EI20",,,,,,"Ballycastle",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2024","EI20",,,,,,"Ballycroy North",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2025","EI20",,,,,,"Ballycroy South",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2026","EI20",,,,,,"Ballyhaunis",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2027","EI20",,,,,,"Ballyhean",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2028","EI20",,,,,,"Ballyhowly",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2029","EI20",,,,,,"Ballynagoraher",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2030","EI20",,,,,,"Ballyovey",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2031","EI20",,,,,,"Ballysakeery",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2032","EI20",,,,,,"Bangor",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2033","EI20",,,,,,"Barroosky",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2034","EI20",,,,,,"Bekan",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2035","EI20",,,,,,"Beldergmore",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2036","EI20",,,,,,"Bellavary",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2037","EI20",,,,,,"Belmullet",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2038","EI20",,,,,,"Bohola",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2039","EI20",,,,,,"Brackloon",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2040","EI20",,,,,,"Breaghwy",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2041","EI20",,,,,,"Bunaveela",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2042","EI20",,,,,,"Bundorragha",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2043","EI20",,,,,,"Burren",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2044","EI20",,,,,,"Burriscarra",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2045","EI20",,,,,,"Callow",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2046","EI20",,,,,,"Cappaghduff",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2047","EI20",,,,,,"Caraun",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2048","EI20",,,,,,"Carrowmore",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2049","EI20",,,,,,"Castlebar Rural",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2050","EI20",,,,,,"Castlebar Urban",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2051","EI20",,,,,,"Clare Island",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2052","EI20",,,,,,"Claremorris",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2053","EI20",,,,,,"Clogher",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2054","EI20",,,,,,"Cloghermore",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2055","EI20",,,,,,"Cloonkeen",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2056","EI20",,,,,,"Cloonmore",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2057","EI20",,,,,,"Cong",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2058","EI20",,,,,,"Coolnaha",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2059","EI20",,,,,,"Coonard",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2060","EI20",,,,,,"Corraun Achill",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2061","EI20",,,,,,"Course",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2062","EI20",,,,,,"Croaghmoyle",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2063","EI20",,,,,,"Croaghpatrick",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2064","EI20",,,,,,"Crossboyne",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2065","EI20",,,,,,"Crossmolina North",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2066","EI20",,,,,,"Crossmolina South",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
